,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
2022-07-21,4111.671905517578,9437.72705078125,10.0,0.0,10.0,0.006505130832055617,10138.844146728516,-0.06915158037748256
2022-07-22,4111.671905517578,9390.092163085938,10.0,0.0,10.0,-0.005047283889331067,10138.844146728516,-0.07384983660925261
2022-07-25,4111.671905517578,9383.470001220703,10.0,0.0,10.0,-0.0007052286335662572,10138.844146728516,-0.07450298422345784
2022-07-26,4111.671905517578,9325.612335205078,10.0,0.0,10.0,-0.006165913676720702,10138.844146728516,-0.0802095189307986
2022-07-27,4111.671905517578,9473.310852050781,10.0,0.0,10.0,0.01583794302580288,10138.844146728516,-0.06564192969594872
2022-07-28,4111.671905517578,9526.744232177734,10.0,0.0,10.0,0.005640412413510765,10138.844146728516,-0.060371764837541815
2022-07-29,4111.671905517578,9633.83804321289,10.0,0.0,10.0,0.011241386188729052,10138.844146728516,-0.049809040972246775
2022-08-01,4111.671905517578,9612.39013671875,10.0,0.0,10.0,-0.0022263096387893366,10138.844146728516,-0.05192446026302078
2022-08-02,4111.671905517578,9571.833038330078,10.0,0.0,10.0,-0.004219252216339675,10138.844146728516,-0.055924630085313426
2022-08-03,4111.671905517578,9692.833862304688,10.0,0.0,10.0,0.012641342937143252,10138.844146728516,-0.043990249575711404
2022-08-04,4111.671905517578,9687.023162841797,10.0,0.0,10.0,-0.0005994840668308576,10138.844146728516,-0.04456336218882574
2022-08-05,4111.671905517578,9678.090515136719,10.0,0.0,10.0,-0.0009221251518570783,10138.844146728516,-0.04544439434355715
2022-08-08,4111.671905517578,9668.795166015625,10.0,0.0,10.0,-0.000960452798675071,10138.844146728516,-0.04636119994650086
2022-08-09,4111.671905517578,9653.658905029297,10.0,0.0,10.0,-0.0015654754006507732,10138.844146728516,-0.04785409802909069
2022-08-10,4111.671905517578,9778.481140136719,10.0,0.0,10.0,0.012930044072967384,10138.844146728516,-0.03554280955271165
2022-08-11,4111.671905517578,9771.105346679688,10.0,0.0,10.0,-0.0007542882530863215,10138.844146728516,-0.03627028828207068
