,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
2020-05-18,6944.296493530273,10427.263259887695,10.0,0.0,10.0,0.009483524890676165,10427.263259887695,0.0
2020-05-19,6944.296493530273,10394.92057800293,10.0,0.0,10.0,-0.0031017421425604264,10427.263259887695,-0.0031017421425604216
2020-05-20,6944.296493530273,10455.408172607422,10.0,0.0,10.0,0.005818956879044546,10455.408172607422,0.0
2020-05-21,6944.296493530273,10430.740814208984,10.0,0.0,10.0,-0.002359291764721827,10455.408172607422,-0.0023592917647217815
2020-05-22,6944.296493530273,10440.848999023438,10.0,0.0,10.0,0.0009690764054537393,10455.408172607422,-0.0013925016932508274
2020-05-26,6944.296493530273,10469.163360595703,10.0,0.0,10.0,0.0027118830638115377,10469.163360595703,0.0
2020-05-27,6944.296493530273,10513.52783203125,10.0,0.0,10.0,0.00423763293278312,10513.52783203125,0.0
2020-05-28,6944.296493530273,10508.705596923828,10.0,0.0,10.0,-0.00045866955264339815,10513.52783203125,-0.0004586695526434158
2020-05-29,6944.296493530273,10520.397491455078,10.0,0.0,10.0,0.0011125913104532703,10520.397491455078,0.0
2020-06-01,6944.296493530273,10541.216888427734,10.0,0.0,10.0,0.001978955356921386,10541.216888427734,0.0
2020-06-02,5675.417251586914,10568.151016235352,10.0,10.0,10.0,0.0025551250953943505,10568.151016235352,0.0
2020-06-03,5675.417251586914,10613.682861328125,10.0,10.0,10.0,0.004308402200425165,10613.682861328125,0.0
2020-06-04,5675.417251586914,10582.900848388672,10.0,10.0,10.0,-0.0029002197768326354,10613.682861328125,-0.0029002197768326072
2020-06-05,5675.417251586914,10683.598556518555,10.0,10.0,10.0,0.009515132908498813,10683.598556518555,0.0
2020-06-08,5675.417251586914,10719.393920898438,10.0,10.0,10.0,0.003350496950116355,10719.393920898438,0.0
2020-06-09,5675.417251586914,10715.783004760742,10.0,10.0,10.0,-0.00033685823698070827,10719.393920898438,-0.0003368582369806843
2020-06-10,6940.444869995117,10736.494064331055,10.0,0.0,10.0,0.0019327621286386876,10736.494064331055,0.0
2020-06-11,6940.444869995117,10525.9033203125,10.0,0.0,10.0,-0.019614479620324365,10736.494064331055,-0.019614479620324338
2020-06-12,6940.444869995117,10566.118850708008,10.0,0.0,10.0,0.003820625097125996,10736.494064331055,-0.01586879409630282
2020-06-15,6940.444869995117,10602.457809448242,10.0,0.0,10.0,0.003439196478260298,10736.494064331055,-0.012484173518812794
2020-06-16,6940.444869995117,10678.976440429688,10.0,0.0,10.0,0.007217065359435448,10736.494064331055,-0.005357207255621099
2020-06-17,9813.177108764648,10665.806503295898,10.0,0.0,0.0,-0.0012332583752061588,10736.494064331055,-0.006583858810111538
2020-06-18,6939.339828491211,10666.146011352539,10.0,0.0,10.0,3.183144720808606e-05,10736.494064331055,-0.006552236936657657
2020-06-19,6939.339828491211,10644.848098754883,10.0,0.0,10.0,-0.0019967767715712847,10736.494064331055,-0.008535930353711974
2020-06-22,6939.339828491211,10685.36880493164,10.0,0.0,10.0,0.0038066025743943577,10736.494064331055,-0.004761820673776851
2020-06-23,6939.339828491211,10717.18391418457,10.0,0.0,10.0,0.002977446060471678,10736.494064331055,-0.0017985526775110743
2020-06-24,9754.629440307617,10627.798919677734,10.0,0.0,0.0,-0.008340343435604525,10736.494064331055,-0.010123895566098154
2020-06-25,9754.629440307617,10639.39094543457,10.0,0.0,0.0,0.0010907268611728416,10736.494064331055,-0.00904421110975899
2020-06-26,9754.629440307617,10612.205963134766,10.0,0.0,0.0,-0.0025551257998908117,10736.494064331055,-0.01157622781250361
